PC-Miler Practical Mileage,Spot Avg Linehaul Rate,Spot Low Linehaul Rate,Spot High Linehaul Rate,Spot Fuel Surcharge,Spot Time Frame,Spot Origin Geo Expansion,Spot Destination Geo Expansion,Spot # of Companies,Spot # of Reports,Spot Your Own Avg Linehaul Rate,Spot Your Own # of Reports,Spot Error,Orig City,Orig State,Orig Postal Code,Dest City,Dest State,Dest Postal Code,Truck Type,ID
832,1.16,0.98,1.25,0.24,15,20,20,,,,,,SCRANTON,PA,18501,ATLANTA,GA,30301,V,
693,1.05,0.94,1.17,0.24,15,10,20,,,,,,CARLISLE,PA,17013,ATLANTA,GA,30301,V,
1004,1.28,1.04,1.43,0.24,15,20,20,,,,,,ALBANY,NY,12202,ATLANTA,GA,30301,V,
963,1.3,1.18,1.37,0.24,15,20,20,,,,,,SYRACUSE,NY,13202,ATLANTA,GA,30301,V,
1000,1.07,0.94,1.13,0.24,15,20,20,,,,,,HARTFORD,CT,6105,ATLANTA,GA,30301,V,
734,1.11,0.97,1.22,0.24,15,20,20,,,,,,DOVER,DE,19901,ATLANTA,GA,30301,V,
500,1.61,1.27,1.97,0.24,15,20,20,,,,,,CHARLESTON,WV,25301,ATLANTA,GA,30301,V,
406,1.49,1.31,1.68,0.24,15,10,20,,,,,,RALEIGH,NC,27587,ATLANTA,GA,30301,V,
238,2.13,1.83,2.28,0.24,15,10,20,,,,,,COLUMBIA,SC,29044,ATLANTA,GA,30301,V,
1848,1.23,1.13,1.29,0.24,15,20,20,,,,,,PHOENIX,AZ,85001,ATLANTA,GA,30301,V,
1005,1.55,1.36,1.68,0.24,15,20,20,,,,,,OMAHA,NE,68022,ATLANTA,GA,30301,V,
798,1.2,0.98,1.29,0.24,15,20,20,,,,,,ATLANTIC CITY,NJ,8404,ATLANTA,GA,30301,V,
797,1.12,1.05,1.13,0.24,15,10,20,,,,,,TRENTON,NJ,8601,ATLANTA,GA,30301,V,
1388,1.23,0.93,1.36,0.24,15,30,40,,,,,,ALBUQUERQUE,NM,87101,ATLANTA,GA,30301,V,
1104,1.38,1.26,1.52,0.24,15,20,20,,,,,,AMARILLO,TX,79101,ATLANTA,GA,30301,V,
759,1.16,1.01,1.29,0.24,15,20,20,,,,,,STATE COLLEGE,PA,16803,ATLANTA,GA,30301,V,
268,1.67,1.27,1.89,0.24,15,20,20,,,,,,TALLAHASSEE,FL,32301,ATLANTA,GA,30301,V,
381,1.74,1.44,1.9,0.24,15,20,20,,,,,,JACKSON,MS,39201,ATLANTA,GA,30301,V,
1506,1.29,1.22,1.38,0.24,30,20,20,,,,,,RAPID CITY,SD,57701,ATLANTA,GA,30301,V,
847,1.49,1.35,1.62,0.24,15,20,20,,,,,,BIG RAPIDS,MI,49307,ATLANTA,GA,30301,V,
199,2.78,2.49,3.07,0.24,15,20,20,,,,,,SCRANTON,PA,18501,BALTIMORE,MD,21117,V,
68,7.63,6.48,7.71,0.24,15,10,20,,,,,,CARLISLE,PA,17013,BALTIMORE,MD,21117,V,
338,1.97,1.68,2.2,0.24,15,20,20,,,,,,ALBANY,NY,12202,BALTIMORE,MD,21117,V,
330,2.19,1.9,2.55,0.24,15,20,20,,,,,,SYRACUSE,NY,13202,BALTIMORE,MD,21117,V,
316,1.74,1.45,1.93,0.24,15,20,20,,,,,,HARTFORD,CT,6105,BALTIMORE,MD,21117,V,
108,3.75,3.18,5.31,0.24,15,20,20,,,,,,DOVER,DE,19901,BALTIMORE,MD,21117,V,
363,3.11,2.79,3.81,0.24,15,20,20,,,,,,CHARLESTON,WV,25301,BALTIMORE,MD,21117,V,
296,3.58,3.02,3.8,0.24,15,10,20,,,,,,RALEIGH,NC,27587,BALTIMORE,MD,21117,V,
523,2.44,2.43,2.53,0.24,15,10,20,,,,,,COLUMBIA,SC,29044,BALTIMORE,MD,21117,V,
2332,1.23,1.02,1.32,0.24,15,30,40,,,,,,PHOENIX,AZ,85001,BALTIMORE,MD,21117,V,
1214,1.66,1.45,1.77,0.24,30,20,20,,,,,,OMAHA,NE,68022,BALTIMORE,MD,21117,V,
147,3.58,2.97,4.23,0.24,15,20,20,,,,,,ATLANTIC CITY,NJ,8404,BALTIMORE,MD,21117,V,
146,3.66,2.48,3.86,0.24,15,10,20,,,,,,TRENTON,NJ,8601,BALTIMORE,MD,21117,V,
1868,1.46,1.28,1.56,0.24,90,30,40,,,,,,ALBUQUERQUE,NM,87101,BALTIMORE,MD,21117,V,
1584,1.39,1.29,1.49,0.24,30,30,40,,,,,,AMARILLO,TX,79101,BALTIMORE,MD,21117,V,
164,3.29,2.77,3.81,0.24,15,20,20,,,,,,STATE COLLEGE,PA,16803,BALTIMORE,MD,21117,V,
925,1.47,1.22,1.69,0.24,30,20,20,,,,,,TALLAHASSEE,FL,32301,BALTIMORE,MD,21117,V,
1011,1.83,1.44,2.14,0.24,15,20,20,,,,,,JACKSON,MS,39201,BALTIMORE,MD,21117,V,
1616,1.5,1.49,1.57,0.24,15,30,40,,,,,,RAPID CITY,SD,57701,BALTIMORE,MD,21117,V,
711,2.22,2.01,2.39,0.24,15,20,20,,,,,,BIG RAPIDS,MI,49307,BALTIMORE,MD,21117,V,
913,1.05,0.95,1.13,0.24,15,20,20,,,,,,SCRANTON,PA,18501,BIRMINGHAM,AL,35201,V,
774,1.19,1,1.48,0.24,15,20,20,,,,,,CARLISLE,PA,17013,BIRMINGHAM,AL,35201,V,
1084,1.03,0.96,1.05,0.24,30,20,30,,,,,,ALBANY,NY,12202,BIRMINGHAM,AL,35201,V,
1044,1.26,1.08,1.33,0.24,30,20,30,,,,,,SYRACUSE,NY,13202,BIRMINGHAM,AL,35201,V,
1080,1.1,0.98,1.19,0.24,15,20,30,,,,,,HARTFORD,CT,6105,BIRMINGHAM,AL,35201,V,
842,1.16,1.12,1.17,0.24,15,20,20,,,,,,DOVER,DE,19901,BIRMINGHAM,AL,35201,V,
564,1.54,1.29,1.75,0.24,15,30,40,,,,,,CHARLESTON,WV,25301,BIRMINGHAM,AL,35201,V,
554,1.44,1.28,1.61,0.24,15,10,10,,,,,,RALEIGH,NC,27587,BIRMINGHAM,AL,35201,V,
395,1.82,1.65,2.3,0.24,15,20,20,,,,,,COLUMBIA,SC,29044,BIRMINGHAM,AL,35201,V,
1704,1,0.88,1.08,0.24,30,20,20,,,,,,PHOENIX,AZ,85001,BIRMINGHAM,AL,35201,V,
951,1.4,1.36,1.45,0.24,15,20,20,,,,,,OMAHA,NE,68022,BIRMINGHAM,AL,35201,V,
917,1.24,1.13,1.27,0.24,15,20,20,,,,,,ATLANTIC CITY,NJ,8404,BIRMINGHAM,AL,35201,V,
915,1.1,0.98,1.1,0.24,15,20,20,,,,,,TRENTON,NJ,8601,BIRMINGHAM,AL,35201,V,
1243,1.23,0.93,1.36,0.24,15,30,40,,,,,,ALBUQUERQUE,NM,87101,BIRMINGHAM,AL,35201,V,
959,1.34,1.31,1.43,0.24,15,30,40,,,,,,AMARILLO,TX,79101,BIRMINGHAM,AL,35201,V,
840,1.19,1,1.48,0.24,15,20,20,,,,,,STATE COLLEGE,PA,16803,BIRMINGHAM,AL,35201,V,
297,1.48,1.07,1.9,0.24,15,20,20,,,,,,TALLAHASSEE,FL,32301,BIRMINGHAM,AL,35201,V,
238,1.99,1.6,2.15,0.24,15,20,20,,,,,,JACKSON,MS,39201,BIRMINGHAM,AL,35201,V,
1452,1.31,1.13,1.58,0.24,30,30,40,,,,,,RAPID CITY,SD,57701,BIRMINGHAM,AL,35201,V,
793,1.61,1.51,1.7,0.24,15,20,20,,,,,,BIG RAPIDS,MI,49307,BIRMINGHAM,AL,35201,V,
293,3.1,2.86,3.32,0.24,15,20,20,,,,,,SCRANTON,PA,18501,BOSTON,MA,2108,V,
404,3.08,2.78,3.14,0.24,15,10,20,,,,,,CARLISLE,PA,17013,BOSTON,MA,2108,V,
170,4,3.54,4.7,0.24,15,20,20,,,,,,ALBANY,NY,12202,BOSTON,MA,2108,V,
312,2.76,2.41,2.96,0.24,15,20,20,,,,,,SYRACUSE,NY,13202,BOSTON,MA,2108,V,
110,3.43,2.77,3.44,0.24,15,10,20,,,,,,HARTFORD,CT,6105,BOSTON,MA,2108,V,
379,3.12,2.81,3.64,0.24,15,20,20,,,,,,DOVER,DE,19901,BOSTON,MA,2108,V,
747,2.53,2.33,2.67,0.24,15,20,20,,,,,,CHARLESTON,WV,25301,BOSTON,MA,2108,V,
694,2.38,2.08,2.6,0.24,15,20,20,,,,,,RALEIGH,NC,27587,BOSTON,MA,2108,V,
921,2.14,1.86,2.25,0.24,15,20,20,,,,,,COLUMBIA,SC,29044,BOSTON,MA,2108,V,
2689,1.5,1.45,1.58,0.24,15,30,40,,,,,,PHOENIX,AZ,85001,BOSTON,MA,2108,V,
1463,1.66,1.37,1.69,0.24,30,20,30,,,,,,OMAHA,NE,68022,BOSTON,MA,2108,V,
340,3.18,2.96,3.5,0.24,15,20,20,,,,,,ATLANTIC CITY,NJ,8404,BOSTON,MA,2108,V,
277,2.57,2.5,2.68,0.24,15,10,20,,,,,,TRENTON,NJ,8601,BOSTON,MA,2108,V,
2226,1.6,1.37,1.75,0.24,60,30,40,,,,,,ALBUQUERQUE,NM,87101,BOSTON,MA,2108,V,
1943,1.66,1.55,1.67,0.24,30,30,40,,,,,,AMARILLO,TX,79101,BOSTON,MA,2108,V,
439,2.74,2.46,2.98,0.24,15,10,20,,,,,,STATE COLLEGE,PA,16803,BOSTON,MA,2108,V,
1320,1.64,1.3,1.89,0.24,15,20,20,,,,,,TALLAHASSEE,FL,32301,BOSTON,MA,2108,V,
1414,1.77,1.74,1.83,0.24,15,30,30,,,,,,JACKSON,MS,39201,BOSTON,MA,2108,V,
1908,1.77,1.66,1.85,0.24,15,40,40,,,,,,RAPID CITY,SD,57701,BOSTON,MA,2108,V,
875,2.4,2.3,2.5,0.24,15,20,20,,,,,,BIG RAPIDS,MI,49307,BOSTON,MA,2108,V,
262,2.19,1.91,2.47,0.24,15,20,20,,,,,,SCRANTON,PA,18501,BUFFALO,NY,14201,V,
303,2.15,1.74,2.16,0.24,15,10,20,,,,,,CARLISLE,PA,17013,BUFFALO,NY,14201,V,
290,2.06,1.85,2.16,0.24,15,20,20,,,,,,ALBANY,NY,12202,BUFFALO,NY,14201,V,
150,2.45,1.91,2.45,0.24,15,20,20,,,,,,SYRACUSE,NY,13202,BUFFALO,NY,14201,V,
407,1.38,1.06,1.49,0.24,15,20,20,,,,,,HARTFORD,CT,6105,BUFFALO,NY,14201,V,
414,2.42,2.09,2.57,0.24,15,20,20,,,,,,DOVER,DE,19901,BUFFALO,NY,14201,V,
429,2.42,2.23,2.66,0.24,30,20,20,,,,,,CHARLESTON,WV,25301,BUFFALO,NY,14201,V,
619,2.36,2.21,2.5,0.24,15,20,20,,,,,,RALEIGH,NC,27587,BUFFALO,NY,14201,V,
770,2.24,1.88,2.37,0.24,15,20,20,,,,,,COLUMBIA,SC,29044,BUFFALO,NY,14201,V,
2256,1.46,1.39,1.54,0.24,15,30,40,,,,,,PHOENIX,AZ,85001,BUFFALO,NY,14201,V,
1014,1.77,1.53,2.05,0.24,15,30,40,,,,,,OMAHA,NE,68022,BUFFALO,NY,14201,V,
446,2.03,1.72,2.19,0.24,15,20,20,,,,,,ATLANTIC CITY,NJ,8404,BUFFALO,NY,14201,V,
385,2.04,1.79,2.19,0.24,15,20,20,,,,,,TRENTON,NJ,8601,BUFFALO,NY,14201,V,
1794,1.52,1.27,1.65,0.24,30,30,40,,,,,,ALBUQUERQUE,NM,87101,BUFFALO,NY,14201,V,
1509,1.38,1.26,1.43,0.24,15,30,40,,,,,,AMARILLO,TX,79101,BUFFALO,NY,14201,V,
201,3.18,2.64,3.18,0.24,15,20,20,,,,,,STATE COLLEGE,PA,16803,BUFFALO,NY,14201,V,
1139,1.79,1.48,2.06,0.24,30,20,30,,,,,,TALLAHASSEE,FL,32301,BUFFALO,NY,14201,V,
