PC-Miler Practical Mileage,Spot Avg Linehaul Rate,Spot Low Linehaul Rate,Spot High Linehaul Rate,Spot Fuel Surcharge,Spot Time Frame,Spot Origin Geo Expansion,Spot Destination Geo Expansion,Spot # of Companies,Spot # of Reports,Spot Your Own Avg Linehaul Rate,Spot Your Own # of Reports,Spot Error,Orig City,Orig State,Orig Postal Code,Dest City,Dest State,Dest Postal Code,Truck Type,ID
1,263.93,249.72,299.72,0.27,15,10,10,,,,,,ATLANTA,GA,30301,ATLANTA,GA,30301,V,
670,1.03,0.92,1.08,0.27,15,20,20,,,,,,BALTIMORE,MD,21117,ATLANTA,GA,30301,V,
147,3.24,2.44,3.24,0.27,15,10,10,,,,,,BIRMINGHAM,AL,35201,ATLANTA,GA,30301,V,
1097,0.95,0.85,0.96,0.27,15,20,20,,,,,,BOSTON,MA,2108,ATLANTA,GA,30301,V,
904,1.3,1.1,1.43,0.27,15,20,20,,,,,,BUFFALO,NY,14201,ATLANTA,GA,30301,V,
117,3.27,3.06,3.37,0.27,15,10,20,,,,,,CHATTANOOGA,TN,37401,ATLANTA,GA,30301,V,
716,1.42,1.28,1.49,0.27,15,10,10,,,,,,CHICAGO,IL,60290,ATLANTA,GA,30301,V,
466,1.63,1.55,1.86,0.27,15,10,10,,,,,,CINCINATTI,OH,45201,ATLANTA,GA,30301,V,
717,1.21,1.12,1.24,0.27,15,10,20,,,,,,CLEVELAND,OH,44101,ATLANTA,GA,30301,V,
567,1.4,1.2,1.41,0.27,15,10,10,,,,,,COLUMBUS,OH,43216,ATLANTA,GA,30301,V,
784,1.12,0.95,1.25,0.27,15,10,20,,,,,,DALLAS,TX,75260,ATLANTA,GA,30301,V,
788,1.54,1.42,1.69,0.27,15,20,20,,,,,,DAVENPORT,IA,52801,ATLANTA,GA,30301,V,
1398,1.12,0.9,1.56,0.27,15,20,20,,,,,,DENVER,CO,80202,ATLANTA,GA,30301,V,
722,1.39,1.23,1.45,0.27,15,20,20,,,,,,DETROIT,MI,48201,ATLANTA,GA,30301,V,
792,1.3,1.17,1.31,0.27,15,10,10,,,,,,HOUSTON,TX,77001,ATLANTA,GA,30301,V,
533,1.51,1.34,1.52,0.27,15,10,20,,,,,,INDIANAPOLIS,IN,46201,ATLANTA,GA,30301,V,
345,1.01,0.73,1.17,0.27,15,10,10,,,,,,JACKSONVILLE,FL,32099,ATLANTA,GA,30301,V,
799,1.4,1.32,1.47,0.27,15,10,20,,,,,,KANSAS CITY,MO,64101,ATLANTA,GA,30301,V,
518,1.77,1.54,1.83,0.27,15,20,20,,,,,,LITTLE ROCK,AR,72201,ATLANTA,GA,30301,V,
2173,1.38,1.29,1.4,0.27,15,20,20,,,,,,LOS ANGELES,CA,90005,ATLANTA,GA,30301,V,
420,1.75,1.56,1.78,0.27,15,10,20,,,,,,LOUISVILLE,KY,40201,ATLANTA,GA,30301,V,
379,1.91,1.83,1.93,0.27,15,10,10,,,,,,MEMPHIS,TN,37501,ATLANTA,GA,30301,V,
664,0.75,0.67,0.79,0.27,15,10,20,,,,,,MIAMI,FL,33101,ATLANTA,GA,30301,V,
815,1.67,1.38,2.08,0.27,15,20,20,,,,,,MILWAUKEE,WI,53202,ATLANTA,GA,30301,V,
1127,1.42,1.28,1.47,0.27,15,20,20,,,,,,MINNEAPOLIS,MN,55401,ATLANTA,GA,30301,V,
327,1.62,1.4,1.69,0.27,15,10,20,,,,,,MOBILE,AL,36601,ATLANTA,GA,30301,V,
255,2.11,1.79,2.27,0.27,15,10,20,,,,,,NASHVILLE,TN,37115,ATLANTA,GA,30301,V,
467,1.65,1.61,1.67,0.27,15,10,20,,,,,,NEW ORLEANS,LA,70112,ATLANTA,GA,30301,V,
870,1,0.86,1.08,0.27,15,20,20,,,,,,NEWARK,NJ,7101,ATLANTA,GA,30301,V,
846,1.47,1.12,1.67,0.27,15,20,20,,,,,,OKLAHOMA CITY,OK,73101,ATLANTA,GA,30301,V,
690,1.79,1.58,1.93,0.27,15,20,20,,,,,,PEORIA,IL,61601,ATLANTA,GA,30301,V,
758,1.1,0.92,1.2,0.27,15,20,20,,,,,,PHILADELPHIA,PA,19092,ATLANTA,GA,30301,V,
684,1.27,1.02,1.55,0.27,15,20,20,,,,,,PITTSBURGH,PA,15201,ATLANTA,GA,30301,V,
2595,1,0.94,1.07,0.27,15,20,20,,,,,,PORTLAND,WA,97201,ATLANTA,GA,30301,V,
533,1.46,1.05,1.58,0.27,15,20,20,,,,,,RICHMOND,VA,23218,ATLANTA,GA,30301,V,
2465,1.33,1.21,1.41,0.27,15,20,20,,,,,,SACRAMENTO,CA,94203,ATLANTA,GA,30301,V,
1872,1.17,1.05,1.26,0.27,15,10,10,,,,,,SALT LAKE CITY,UT,84101,ATLANTA,GA,30301,V,
986,1.02,0.86,1.08,0.27,15,20,20,,,,,,SAN ANTONIO,TX,78201,ATLANTA,GA,30301,V,
2147,1.48,1.37,1.62,0.27,15,20,20,,,,,,SAN DIEGO,CA,92093,ATLANTA,GA,30301,V,
2471,1.52,1.39,1.57,0.27,15,20,30,,,,,,SAN FRANCISCO,CA,94101,ATLANTA,GA,30301,V,
248,1.77,1.66,1.81,0.27,15,10,10,,,,,,SAVANNAH,GA,31401,ATLANTA,GA,30301,V,
2670,0.98,0.88,0.99,0.27,30,20,20,,,,,,SEATTLE,WA,98101,ATLANTA,GA,30301,V,
556,1.65,1.43,1.74,0.27,15,20,20,,,,,,ST. LOUIS,MO,63101,ATLANTA,GA,30301,V,
456,0.74,0.58,0.8,0.27,15,10,20,,,,,,TAMPA,FL,33601,ATLANTA,GA,30301,V,
663,1.42,1.23,1.52,0.27,15,20,20,,,,,,TOLEDO,OH,43601,ATLANTA,GA,30301,V,
781,1.32,1.24,1.41,0.27,15,20,20,,,,,,TULSA,OK,74101,ATLANTA,GA,30301,V,
566,1.26,1.11,1.32,0.27,15,20,20,,,,,,NORFOLK,VA,23501,ATLANTA,GA,30301,V,
641,1.18,0.96,1.4,0.27,15,20,20,,,,,,WASHINGTON,DC,20001,ATLANTA,GA,30301,V,
957,1.41,1.32,1.46,0.27,15,20,30,,,,,,WICHITA,KS,67201,ATLANTA,GA,30301,V,
1058,0.95,0.85,0.96,0.27,15,20,20,,,,,,WORCHESTER,MA,1601,ATLANTA,GA,30301,V,
670,1.89,1.75,2.09,0.27,15,20,20,,,,,,ATLANTA,GA,30301,BALTIMORE,MD,21117,V,
1,320.13,228,341.75,0.27,15,20,20,,,,,,BALTIMORE,MD,21117,BALTIMORE,MD,21117,V,
775,1.96,1.71,2.12,0.27,15,20,20,,,,,,BIRMINGHAM,AL,35201,BALTIMORE,MD,21117,V,
413,1.29,1.1,1.44,0.27,15,20,20,,,,,,BOSTON,MA,2108,BALTIMORE,MD,21117,V,
362,2.41,2.13,2.52,0.27,15,20,20,,,,,,BUFFALO,NY,14201,BALTIMORE,MD,21117,V,
630,2.08,1.88,2.34,0.27,15,20,20,,,,,,CHATTANOOGA,TN,37401,BALTIMORE,MD,21117,V,
698,2.16,2.01,2.17,0.27,15,10,20,,,,,,CHICAGO,IL,60290,BALTIMORE,MD,21117,V,
497,2.47,2.24,2.72,0.27,15,20,20,,,,,,CINCINATTI,OH,45201,BALTIMORE,MD,21117,V,
373,2.9,2.54,4,0.27,15,20,20,,,,,,CLEVELAND,OH,44101,BALTIMORE,MD,21117,V,
400,2.5,2.22,2.54,0.27,15,10,20,,,,,,COLUMBUS,OH,43216,BALTIMORE,MD,21117,V,
1361,1.39,1.19,1.56,0.27,15,20,20,,,,,,DALLAS,TX,75260,BALTIMORE,MD,21117,V,
850,1.99,1.79,2.14,0.27,30,20,20,,,,,,DAVENPORT,IA,52801,BALTIMORE,MD,21117,V,
1660,1.08,1.01,1.14,0.27,15,30,40,,,,,,DENVER,CO,80202,BALTIMORE,MD,21117,V,
525,2.51,2.37,2.67,0.27,15,20,20,,,,,,DETROIT,MI,48201,BALTIMORE,MD,21117,V,
1441,1.47,1.45,1.51,0.27,15,20,20,,,,,,HOUSTON,TX,77001,BALTIMORE,MD,21117,V,
579,2.22,2.01,2.44,0.27,15,20,20,,,,,,INDIANAPOLIS,IN,46201,BALTIMORE,MD,21117,V,
764,1.54,1.39,1.62,0.27,15,20,30,,,,,,JACKSONVILLE,FL,32099,BALTIMORE,MD,21117,V,
1062,1.77,1.7,1.8,0.27,15,20,20,,,,,,KANSAS CITY,MO,64101,BALTIMORE,MD,21117,V,
1046,1.79,1.54,1.97,0.27,15,20,20,,,,,,LITTLE ROCK,AR,72201,BALTIMORE,MD,21117,V,
2654,1.37,1.16,1.45,0.27,15,20,20,,,,,,LOS ANGELES,CA,90005,BALTIMORE,MD,21117,V,
607,2.5,2.33,2.78,0.27,15,20,20,,,,,,LOUISVILLE,KY,40201,BALTIMORE,MD,21117,V,
906,1.99,1.85,2.12,0.27,15,20,20,,,,,,MEMPHIS,TN,37501,BALTIMORE,MD,21117,V,
